,closed,share
 Software ,157,11.043975688237397
 Curated Web ,126,3.414372542009296
 Mobile ,95,4.51197711834108
 Biotechnology ,71,8.07651054701466
 Social Media ,63,1.9199141937790491
 Games ,57,2.3882731498033607
 E-Commerce ,56,3.614587057561673
 Advertising ,47,2.4776546299606723
 Clean Technology ,36,2.216660707901323
 Hardware + Software ,32,2.5598855917053984
 Enterprise Software ,31,3.228459063282088
 Semiconductors ,26,1.1869860564890955
 Health Care ,25,2.749374329638899
 Finance ,20,1.7304254558455487
 Consulting ,18,0.8115838398283874
 Web Hosting ,18,0.9724705041115481
 Search ,18,0.6328208795137648
 Messaging ,18,0.6721487307829818
 Public Relations ,18,0.3360743653914909
 Security ,17,1.23703968537719
 Networking ,15,0.3646764390418305
 Social Network Media ,15,0.38970325348587775
 Video ,14,0.48981051126206654
 Music ,14,0.572041473006793
 News ,13,0.7114765820521988
 Education ,13,1.7518770110833037
 Health and Wellness ,12,1.9842688594923132
 Travel ,9,0.768680729352878
 Marketplaces ,9,0.48623525205577406
 Web Development ,9,0.2717196996782267
 Manufacturing ,8,1.2120128709331426
 Android ,8,0.22166607079013226
 Coupons ,7,0.07865570253843404
 Facebook Applications ,7,0.18233821952091525
 Location Based Services ,7,0.15731140507686808
 iPhone ,7,0.16803718269574544
 Sports ,7,0.47193421523060425
 Analytics ,7,1.512334644261709
 Hospitality ,6,0.7543796925277082
 Fashion ,6,0.7257776188773687
 Automotive ,6,0.37897747586700037
 Photography ,6,0.48623525205577406
 SaaS ,5,0.6506971755452271
 Cloud Computing ,5,0.3646764390418305
 Startups ,5,0.3432248838040758
 Internet Marketing ,5,0.18233821952091525
 Shopping ,5,0.15373614587057563
 Reviews and Recommendations ,5,0.16088666428316054
 Internet ,5,0.5684662138005006
 Local ,4,0.12513407222023595
 Web Tools ,4,0.11440829460135861
 Real Estate ,4,0.697175545227029
 Apps ,4,0.45763317840543444
 Gambling ,3,0.0321773328566321
 Medical Devices ,3,0.28959599570968897
 Legal ,3,0.21451555237754738
 Entertainment ,3,0.38970325348587775
 Email Marketing ,3,0.053628888094386845
 Business Development ,3,0.0321773328566321
 Social Commerce ,3,0.1322845906328209
 Online Shopping ,3,0.1465856274579907
 Television ,3,0.11083303539506613
 Mobile Games ,3,0.1322845906328209
 Sales and Marketing ,3,0.3038970325348588
 Twitter Applications ,3,0.0893814801573114
 Cloud Data Services ,3,0.09295673936360387
 Pets ,3,0.09295673936360387
 Peer-to-Peer ,3,0.0893814801573114
 Employment ,3,0.06077940650697176
 Social Games ,3,0.0893814801573114
 Parenting ,3,0.0321773328566321
 Events ,3,0.1394351090454058
 Publishing ,3,0.1716124419020379
 Crowdsourcing ,2,0.17518770110833035
 Audio ,2,0.04290311047550947
 CRM ,2,0.10725777618877369
 Clean Energy ,2,0.06792992491955667
 Web Design ,2,0.0643546657132642
 Databases ,2,0.11440829460135861
